golden_id,customer_tweet_id,customer_text,brand_text,heuristic_bucket,suggested_intent,suggested_confidence,true_intent,true_escalate,escalate_reason
g0000,2980890,What a fake support have. Fist you give fake promises to customers and then show your true​ colors Worst support guys... Worst support.,For further assistance on this kindly reply to the same email. Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. 2/2 ^AH,product_quality_defect,complaint_negative_other,0.95,complaint_negative_other,True,"The customer is expressing high frustration and anger regarding poor support experiences, requiring human de-escalation rather than an automated response."
g0001,1048169,"I got my printer today, power cable is damaged, and there is no Data cable Check image. Order number- 403-9681243-2700349",You can reach out to our support team here: We'll definitely look into it. 2/3 ^PS,product_quality_defect,product_quality_defect,1.0,product_quality_defect,False,"The customer is reporting a standard defective item issue with missing accessories, which can be safely handled by the automated returns and replacement workflow."
g0002,649719,can you buy Prime as a gift in the UK yet? Thanks,I'm sorry! We don't offer Prime gift memberships in the UK. ^WT,compliment_positive_feedback,general_inquiry,0.95,general_inquiry,False,This is a straightforward factual inquiry about a standard service offering that can be accurately and safely answered by an automated system.
g0003,2646250,"Numerous times. Automated responses by system, no response to complaints basically hiding their heads in the sand. Well know Issues/problems not being addressed &amp; rules self evident on constantly being broken by the use of bots hacking into the system 👎🏻😡",Thanks for reaching out to us! We don't have access to your account via Twitter. We'd love to help anyway we can. Please reach out to us here via phone or chat: ^MO,account_security,complaint_negative_other,0.9,complaint_negative_other,True,"The customer is expressing high frustration and anger regarding unresolved system issues and alleged bot hacking, which requires human de-escalation rather than an automated response."
g0004,174587,"my amazon package is like 10 minutes away, but not out for delivery yet. gimme",Our carriers have until 8PM to deliver. Please keep us posted. ^AG,order_status_delivery,order_status_delivery,0.95,order_status_delivery,False,"The customer is inquiring about a standard delivery status within a reasonable timeframe, which can be safely handled by an automated tracking response."
g0005,2600908,has been unable to fix an issue with for the past 2 weeks and does take care of it at all. Worst customer service ever. I may go to,"Hello James, I am sorry to hear that you are having problems using the feature. When you reached out to us what were you advised ? ^CR",complaint_negative_other,complaint_negative_other,0.9,complaint_negative_other,True,"The customer is expressing extreme frustration over an unresolved issue lasting two weeks and makes an implicit legal or regulatory threat ('I may go to'), requiring human de-escalation."
g0006,63826,Hi order number is 171-4216090-2817924 ordered wallet yesterday but there is no wallet in it . Got empty box . See to it asap . This is a fraud happening and you will loose a valuable customer now registered number 9873513970,Apologies for not receiving the wallet. We would like to take a closer look into this. Please share your details here: - so that we can get this sorted at the earliest. 1/2^SC,account_security,product_quality_defect,0.95,product_quality_defect,True,"The customer is accusing Amazon of fraud after receiving an empty box, which requires human de-escalation and investigation."
g0007,238886,": Ours is a business account. Ordered 14 items for diwali gifts for staffs worth 10K INR. Order cancelled for 12 items. Order # 403-6277206-9111521. Customer service say, can't do anything. Why i should have business account then?",Write to us here: &amp; we'll help you with the available options. 2/2 ^MJ,refund_return_cancellation,refund_return_cancellation,0.95,refund_return_cancellation,True,"This involves a high-value B2B order cancellation of 10K INR, frustrated business customer sentiment, and a prior unresolved customer service interaction that requires human judgment and de-escalation."
g0008,2544923,"Adding multiple 3rd party auth keys is broken. None of the new keys I auth to devices work for 3rd party auth, only the original key. This is really frustrating and needs fixed.",We want to help! Please tell us more about the devices or applications you are trying to authorize. ^SH,product_quality_defect,app_website_technical,0.95,app_website_technical,True,"The customer is expressing frustration over a broken technical feature regarding third-party authentication keys, which requires manual investigation and de-escalation by support."
g0009,2061602,Thank you - now sorted with an email. #HappyCustomer,Awesome! Glad we could help get this sorted out for you!,compliment_positive_feedback,compliment_positive_feedback,0.99,compliment_positive_feedback,False,"This is a positive customer feedback message confirming the issue is resolved, requiring no further action or escalation."
g0010,2290180,Height of #shamelessness i was not available at home?? Really? No call nothing and u say this. Now toh i don't need this at all...thanks.. suggest me link to buy books,kindly report it to our support team here: and we'll resolve it for you at the earliest. 2/2 ^KH,app_website_technical,order_status_delivery,0.9,order_status_delivery,True,"The customer is visibly angry and frustrated regarding a failed delivery attempt, requiring human de-escalation rather than an automated response."
g0011,232384,Mismatch on payment amount.Lot of software bugs in placing order during the #AmazonGreatIndianFestival,Sorry about that. Kindly get in touch with us here: and we’ll be glad to help you. ^AG,billing_payment_issue,billing_payment_issue,0.85,billing_payment_issue,True,"The customer is reporting a payment discrepancy and software bugs during a major shopping event, which involves financial concerns and requires careful human intervention to resolve accurately."
g0012,2444008,Frustrated beyond belief not being able to change my password!! Not cool.,I'm sorry for the trouble! You can find information on how to reset your password here: ^LR,account_security,account_security,0.95,account_security,True,"The customer is frustrated and the issue involves account security, which requires human empathy and verification."
g0013,646734,Very disappointed that my parcel has arrived extremely dented. Items that can be damaged should be boxed not packaged in a wrap around cardboard sleeve.,"I'm so sorry that your item arrived in this condition, Helen! Was the item damaged, or just the packaging itself? Also, if you could please take a moment to provide your input on the packaging here: Thank you! ^SP",order_status_delivery,product_quality_defect,0.95,product_quality_defect,False,This is a standard product damage complaint that can be efficiently resolved by the automated agent using a predefined replacement or refund workflow.
g0014,1555491,Plz update,Apologies for the delay. Could you confirm if you've shared the details using the link provided in the previous post? ^SK,unmatched,order_status_delivery,0.65,complaint_negative_other,True,"The customer message 'Plz update' is extremely ambiguous and lacks necessary context, meaning an automated reply would likely be incorrect and frustrate the customer further."
g0015,561689,"Hi, keep getting an error after entering my password on app (something went wrong...) and unable to place orders as well (see video). Any ideas?","I'm sorry to see this. Have you had a chance to try completely closing the app? If that doesn't work, please try uninstalling and reinstalling the app on your phone. Please keep us posted! ^GR",account_security,app_website_technical,0.95,app_website_technical,False,"The customer is reporting a standard technical app error without expressing extreme anger, legal threats, or account security risks, making it suitable for automated troubleshooting guidance."
g0016,2410505,#fraud #chor Invoice with no Imei on most of the products,Invoices sent with product for delivery don't contain the IMEI number. Please contact us here: so we can assist you.^PJ,account_security,product_quality_defect,0.85,product_quality_defect,True,"The customer used the hashtag fraud and chor, indicating strong anger and potential legal or security implications that require human de-escalation."
g0017,833413,. I was suppose to get my order before 23rd Oct but it's showing delivered. This is not even my address. What's wrong ?,Sorry for the mix up. Please contact us here: so that we can assist you accordingly. ^SC,order_status_delivery,order_status_delivery,0.95,order_status_delivery,True,"The customer is reporting a misdelivered order with an incorrect address, which requires human verification and intervention to resolve."
g0018,316505,"I haven't, because I had talked to your tele customer support call back from the app in the afternoon and the link seemed to be for same.","Kindly share your details via the above link, we'll check this for you. Appreciate your cooperation. ^SG",app_website_technical,general_inquiry,0.6,app_website_technical,True,"The customer is referencing a potentially suspicious phone call and app link, which touches on account security and requires human verification to prevent potential phishing or fraud."
g0019,1737986,I want some help,We'd like to help you. Please tell us what went wrong? ^BS,unmatched,general_inquiry,0.7,general_inquiry,False,"The customer message is a simple, standard general inquiry that can be safely handled by an automated assistant offering routine support options."
g0020,1623905,It has requested me to login and I've closed my amazon account few month s back. What to do now.,"In that case, your mobile number might be registered with a different account already. (1/2) ^SS",account_security,account_security,0.9,account_security,True,"The customer is experiencing login prompts related to a previously closed account, which involves account security and requires manual verification by a human agent."
